Experiment,,SubNum,Include,level_0,index,trial_type,trial_index,time_elapsed,rt,response,control_level,task_id,screen_id,difference,Key_Release_sim_x,Key_Release_sim_y,Key_Release_p1_x,Key_Release_p1_y,Correlation_x,Correlation_y,block,Confidence,RT_Confidence
1,41,1,0,41,93,html-slider-response,93,489849,5274,58,0.8,question_agency,question_agency_line,-22,2,7,0,0,0,0,3,,
1,42,1,0,42,154,html-slider-response,154,1049586,2773,10,0.8,question_agency,question_agency_line,-70,6,8,0,0,0,0,4,,
1,43,1,0,43,176,html-slider-response,176,1497298,22532,50,0.8,question_agency,question_agency_line,-30,7,7,0,0,0,0,5,,
1,47,1,0,47,22,html-slider-response,22,92433,10326,47,0.9,question_agency,question_agency_line,-43,6,4,0,0,0,0,1,,
1,48,1,0,48,62,html-slider-response,62,345638,5155,66,0.9,question_agency,question_agency_line,-24,5,4,0,0,0,0,2,,
1,45,1,0,45,108,html-slider-response,108,560171,3150,38,0.9,question_agency,question_agency_line,-52,6,7,0,0,0,0,3,,
1,49,1,0,49,130,html-slider-response,130,788967,3430,54,0.9,question_agency,question_agency_line,-36,8,6,0,0,0,0,4,,
1,46,1,0,46,179,html-slider-response,179,1510211,3901,13,0.9,question_agency,question_agency_line,-77,6,7,0,0,0,0,5,,
1,51,1,0,51,43,html-slider-response,43,240465,25711,23,1,question_agency,question_agency_line,-77,7,7,0,0,0,0,1,,
1,52,1,0,52,71,html-slider-response,71,384271,3823,60,1,question_agency,question_agency_line,-40,7,8,0,0,0,0,2,,
1,53,1,0,53,120,html-slider-response,120,641991,31005,56,1,question_agency,question_agency_line,-44,9,7,0,0,0,0,3,,
1,50,1,0,50,136,html-slider-response,136,919518,49430,60,1,question_agency,question_agency_line,-40,10,11,0,0,0,0,4,,
1,54,1,0,54,164,html-slider-response,164,1408232,19859,16,1,question_agency,question_agency_line,-84,5,6,0,0,0,0,5,,
1,1,2,1,1,28,html-slider-response,28,167769,3821,0,0,question_agency,question_agency_line,0,7,6,26,18,-0.452255,0.139702149,1,,
1,3,2,1,3,77,html-slider-response,77,397151,2568,0,0,question_agency,question_agency_line,0,2,6,37,30,-0.12655819,0.082885497,2,,
1,0,2,1,0,114,html-slider-response,114,557148,3669,0,0,question_agency,question_agency_line,0,9,8,21,8,0.173349307,0.188010075,3,,
1,4,2,1,4,151,html-slider-response,151,727912,3692,0,0,question_agency,question_agency_line,0,9,7,25,8,-0.260575957,0.111883757,4,,
1,2,2,1,2,176,html-slider-response,176,834808,4708,0,0,question_agency,question_agency_line,0,4,9,15,14,-0.120948379,-0.068942288,5,,
1,6,2,1,6,37,html-slider-response,37,205118,2951,0,0.1,question_agency,question_agency_line,-10,10,11,40,10,-0.119024636,0.03262935,1,,
1,5,2,1,5,62,html-slider-response,62,336881,14842,39,0.1,question_agency,question_agency_line,29,5,2,17,12,-0.278565808,-0.045556077,2,,
1,8,2,1,8,108,html-slider-response,108,532029,4023,8,0.1,question_agency,question_agency_line,-2,5,6,24,6,0.087451849,0.312115329,3,,
1,9,2,1,9,142,html-slider-response,142,690241,3717,32,0.1,question_agency,question_agency_line,22,6,7,43,31,-0.047862067,0.020488805,4,,
1,7,2,1,7,173,html-slider-response,173,821095,2989,2,0.1,question_agency,question_agency_line,-8,6,5,14,6,-0.296392181,0.111212725,5,,
1,11,2,1,11,40,html-slider-response,40,221574,7450,5,0.2,question_agency,question_agency_line,-15,7,4,40,6,-0.377363415,0.18354675,1,,
1,13,2,1,13,86,html-slider-response,86,435805,4089,33,0.2,question_agency,question_agency_line,13,6,9,20,4,-0.171915551,0.182608559,2,,
1,10,2,1,10,117,html-slider-response,117,569875,3711,0,0.2,question_agency,question_agency_line,-20,3,6,28,22,-0.158871079,0.072771958,3,,
1,14,2,1,14,136,html-slider-response,136,665336,7247,8,0.2,question_agency,question_agency_line,-12,3,4,17,16,0.098525027,-0.495030465,4,,
1,12,2,1,12,167,html-slider-response,167,796774,4143,0,0.2,question_agency,question_agency_line,-20,9,7,14,7,0.063489562,-0.016648021,5,,
1,18,2,1,18,49,html-slider-response,49,264852,8728,0,0.3,question_agency,question_agency_line,-30,9,7,25,6,-0.342414194,-0.218222565,1,,
1,15,2,1,15,80,html-slider-response,80,410511,4349,37,0.3,question_agency,question_agency_line,7,7,6,18,20,0.143159613,0.056781137,2,,
1,19,2,1,19,102,html-slider-response,102,506045,4450,14,0.3,question_agency,question_agency_line,-16,6,8,16,8,-0.049021612,0.21088952,3,,
1,17,2,1,17,154,html-slider-response,154,743672,6754,35,0.3,question_agency,question_agency_line,5,6,6,11,20,0.290962703,-0.125858062,4,,
1,16,2,1,16,188,html-slider-response,188,890598,5039,78,0.3,question_agency,question_agency_line,48,4,5,8,8,0.24489553,0.159621689,5,,
1,21,2,1,21,52,html-slider-response,52,279316,5452,5,0.4,question_agency,question_agency_line,-35,5,9,16,10,-0.185902331,0.209252868,1,,
1,20,2,1,20,56,html-slider-response,56,299104,8651,36,0.4,question_agency,question_agency_line,-4,8,8,33,8,0.380595341,0.228984661,2,,
1,24,2,1,24,93,html-slider-response,93,464934,6902,39,0.4,question_agency,question_agency_line,-1,7,8,37,6,0.402695145,0.339923711,3,,
1,22,2,1,22,127,html-slider-response,127,618186,10554,58,0.4,question_agency,question_agency_line,18,7,6,18,12,0.000591143,-0.200094473,4,,
1,23,2,1,23,179,html-slider-response,179,850333,6511,55,0.4,question_agency,question_agency_line,15,6,9,21,8,0.059168857,-0.116921962,5,,
1,27,2,1,27,22,html-slider-response,22,138144,26681,31,0.5,question_agency,question_agency_line,-19,5,7,13,10,0.17591924,-0.251505287,1,,
1,28,2,1,28,68,html-slider-response,68,361575,2938,83,0.5,question_agency,question_agency_line,33,7,7,11,14,0.135803816,0.019436243,2,,
1,29,2,1,29,90,html-slider-response,90,449022,2767,62,0.5,question_agency,question_agency_line,12,10,10,21,31,-0.101908811,-0.193693869,3,,
1,26,2,1,26,148,html-slider-response,148,715209,2832,86,0.5,question_agency,question_agency_line,36,5,8,29,35,0.109918177,-0.127406898,4,,
1,25,2,1,25,182,html-slider-response,182,863702,4354,79,0.5,question_agency,question_agency_line,29,9,5,12,9,0.244242551,0.067540238,5,,
1,30,2,1,30,25,html-slider-response,25,154936,7782,73,0.6,question_agency,question_agency_line,13,10,7,17,16,-0.0540503,0.290949685,1,,
1,34,2,1,34,59,html-slider-response,59,313025,4912,84,0.6,question_agency,question_agency_line,24,5,7,15,14,-0.498643186,0.043210458,2,,
1,31,2,1,31,120,html-slider-response,120,582435,3547,88,0.6,question_agency,question_agency_line,28,10,9,19,12,0.16689094,0.030438658,3,,
1,32,2,1,32,130,html-slider-response,130,629634,2441,87,0.6,question_agency,question_agency_line,27,10,7,12,14,-0.093848999,0.468323463,4,,
1,33,2,1,33,161,html-slider-response,161,769553,3890,90,0.6,question_agency,question_agency_line,30,9,5,17,14,0.144729938,-0.072631758,5,,
1,36,2,1,36,31,html-slider-response,31,180773,3997,100,0.7,question_agency,question_agency_line,30,6,6,15,12,-0.322645199,-0.343571309,1,,
1,39,2,1,39,71,html-slider-response,71,373959,3371,85,0.7,question_agency,question_agency_line,15,6,7,9,12,-0.280832826,0.013154005,2,,
1,35,2,1,35,96,html-slider-response,96,480540,6596,71,0.7,question_agency,question_agency_line,1,5,5,18,19,0.331430894,-0.124108367,3,,
1,38,2,1,38,133,html-slider-response,133,649075,10430,76,0.7,question_agency,question_agency_line,6,7,3,15,16,-0.324732193,-0.189612084,4,,
1,37,2,1,37,170,html-slider-response,170,809103,3319,90,0.7,question_agency,question_agency_line,20,8,7,13,9,0.144476697,0.095347349,5,,
1,40,2,1,40,46,html-slider-response,46,247115,3864,100,0.8,question_agency,question_agency_line,20,9,9,22,16,-0.051092729,-0.242751124,1,,
1,44,2,1,44,83,html-slider-response,83,422701,3176,100,0.8,question_agency,question_agency_line,20,7,5,36,12,0.034502321,-0.007470138,2,,
1,42,2,1,42,99,html-slider-response,99,492580,3030,83,0.8,question_agency,question_agency_line,3,9,8,15,12,0.114816259,0.260691998,3,,
1,43,2,1,43,139,html-slider-response,139,677512,3170,100,0.8,question_agency,question_agency_line,20,2,2,30,33,-0.06492483,0.138734673,4,,
1,41,2,1,41,164,html-slider-response,164,783614,5056,98,0.8,question_agency,question_agency_line,18,4,9,18,17,-0.539669651,-0.017498638,5,,
1,47,2,1,47,34,html-slider-response,34,193157,3377,100,0.9,question_agency,question_agency_line,10,5,5,31,32,-0.234940086,0.26009319,1,,
1,46,2,1,46,74,html-slider-response,74,385575,2609,100,0.9,question_agency,question_agency_line,10,7,5,27,27,0.023653061,-0.034015904,2,,
1,49,2,1,49,111,html-slider-response,111,544475,3440,100,0.9,question_agency,question_agency_line,10,7,7,18,11,0.306237879,-0.260362911,3,,
1,48,2,1,48,124,html-slider-response,124,598625,4718,100,0.9,question_agency,question_agency_line,10,8,6,10,9,0.077524638,0.090474011,4,,
1,45,2,1,45,185,html-slider-response,185,876542,3829,100,0.9,question_agency,question_agency_line,10,10,7,10,10,-0.272430982,-0.029774729,5,,
1,52,2,1,52,43,html-slider-response,43,234239,3655,100,1,question_agency,question_agency_line,0,8,8,22,19,0.264020026,0.122810155,1,,
1,53,2,1,53,65,html-slider-response,65,349634,3745,100,1,question_agency,question_agency_line,0,9,7,15,14,0.306772589,-0.083084487,2,,
1,54,2,1,54,105,html-slider-response,105,518989,3935,100,1,question_agency,question_agency_line,0,4,7,11,10,0.056380506,0.072856627,3,,
1,51,2,1,51,145,html-slider-response,145,703369,4118,100,1,question_agency,question_agency_line,0,9,10,32,29,0.11914891,0.334503205,4,,
1,50,2,1,50,158,html-slider-response,158,756648,2912,100,1,question_agency,question_agency_line,0,9,6,9,6,-0.083828888,-0.057928976,5,,
1,3,3,1,3,34,html-slider-response,34,175060,3267,5,0,question_agency,question_agency_line,5,8,4,11,9,-0.289880855,0.687419237,1,,
1,2,3,1,2,86,html-slider-response,86,377273,2331,21,0,question_agency,question_agency_line,21,6,6,8,18,-0.016078845,-0.076892183,2,,
1,0,3,1,0,99,html-slider-response,99,427416,2265,0,0,question_agency,question_agency_line,0,7,8,14,11,-0.147773631,0.051998876,3,,
1,1,3,1,1,127,html-slider-response,127,537058,3562,12,0,question_agency,question_agency_line,12,7,8,8,6,0.135098908,0.196042475,4,,
1,4,3,1,4,164,html-slider-response,164,691497,3729,7,0,question_agency,question_agency_line,7,6,6,7,2,-0.002606337,0.16720731,5,,
1,9,3,1,9,43,html-slider-response,43,209587,2158,15,0.1,question_agency,question_agency_line,5,8,9,15,12,0.086853681,0.059476015,1,,
1,6,3,1,6,83,html-slider-response,83,365931,2605,0,0.1,question_agency,question_agency_line,-10,6,9,15,18,-0.057027193,-0.034640494,2,,
1,7,3,1,7,105,html-slider-response,105,451602,2796,22,0.1,question_agency,question_agency_line,12,7,8,9,17,0.068950762,0.026023447,3,,
1,5,3,1,5,148,html-slider-response,148,624753,3488,4,0.1,question_agency,question_agency_line,-6,9,9,7,13,0.257237077,0.297731528,4,,
1,8,3,1,8,179,html-slider-response,179,758693,3757,3,0.1,question_agency,question_agency_line,-7,5,8,4,9,0.310451444,0.051356164,5,,
1,11,3,1,11,25,html-slider-response,25,138706,2893,29,0.2,question_agency,question_agency_line,9,7,4,10,7,0.13180409,-0.176532458,1,,
1,14,3,1,14,74,html-slider-response,74,331692,2209,4,0.2,question_agency,question_agency_line,-16,7,8,10,18,-0.158362669,0.115900259,2,,
1,12,3,1,12,111,html-slider-response,111,475064,2453,20,0.2,question_agency,question_agency_line,0,6,7,7,2,0.083588076,0.61973227,3,,
1,13,3,1,13,151,html-slider-response,151,638487,4725,0,0.2,question_agency,question_agency_line,-20,9,9,9,17,-0.284395876,0.007750487,4,,
1,10,3,1,10,158,html-slider-response,158,665743,2538,23,0.2,question_agency,question_agency_line,3,5,5,4,5,0.065851537,0.582834416,5,,
1,17,3,1,17,46,html-slider-response,46,221694,3099,17,0.3,question_agency,question_agency_line,-13,8,7,7,6,0.470873038,0.113396287,1,,
1,16,3,1,16,80,html-slider-response,80,354318,2207,35,0.3,question_agency,question_agency_line,5,4,6,1,17,0.276323314,0.506672967,2,,
1,19,3,1,19,114,html-slider-response,114,488113,4039,30,0.3,question_agency,question_agency_line,0,7,11,5,18,0.376969922,0.131333269,3,,
1,15,3,1,15,142,html-slider-response,142,600165,2683,47,0.3,question_agency,question_agency_line,17,6,7,7,6,0.026276981,0.291007043,4,,
1,18,3,1,18,167,html-slider-response,167,704235,3722,33,0.3,question_agency,question_agency_line,3,3,6,3,6,0.476124831,0.354382664,5,,
1,22,3,1,22,52,html-slider-response,52,247763,3856,44,0.4,question_agency,question_agency_line,4,7,9,11,6,-0.071267677,0.439561741,1,,
1,21,3,1,21,65,html-slider-response,65,297439,2396,18,0.4,question_agency,question_agency_line,-22,5,7,6,10,0.028955464,0.256272232,2,,
1,23,3,1,23,90,html-slider-response,90,390810,3111,34,0.4,question_agency,question_agency_line,-6,8,7,7,6,-0.04463515,0.182513145,3,,
1,24,3,1,24,145,html-slider-response,145,612255,3077,21,0.4,question_agency,question_agency_line,-19,6,8,6,1,0.513914873,0.605841352,4,,
1,20,3,1,20,185,html-slider-response,185,784047,3686,0,0.4,question_agency,question_agency_line,-40,8,6,2,10,-0.271082144,-0.276768182,5,,
1,29,3,1,29,49,html-slider-response,49,234897,4193,39,0.5,question_agency,question_agency_line,-11,5,8,8,2,0.383761447,0.215724113,1,,
1,26,3,1,26,77,html-slider-response,77,343100,2397,37,0.5,question_agency,question_agency_line,-13,3,8,12,9,-0.046531936,0.316039955,2,,
1,25,3,1,25,117,html-slider-response,117,500025,2903,57,0.5,question_agency,question_agency_line,7,7,6,8,9,0.331432743,0.308356927,3,,
1,27,3,1,27,130,html-slider-response,130,548782,2714,36,0.5,question_agency,question_agency_line,-14,7,10,7,6,-0.560622089,-0.61920457,4,,
1,28,3,1,28,170,html-slider-response,170,719157,5911,23,0.5,question_agency,question_agency_line,-27,5,5,2,5,-0.605805555,0.235917262,5,,
1,31,3,1,31,40,html-slider-response,40,198420,2524,57,0.6,question_agency,question_agency_line,-3,11,5,8,6,0.412917464,0.460692171,1,,
1,30,3,1,30,59,html-slider-response,59,274304,2420,56,0.6,question_agency,question_agency_line,-4,9,7,3,6,0.158990929,-0.14943135,2,,
1,33,3,1,33,93,html-slider-response,93,403107,3286,42,0.6,question_agency,question_agency_line,-18,6,5,10,9,-0.204038092,0.355964063,3,,
1,34,3,1,34,133,html-slider-response,133,562814,5021,46,0.6,question_agency,question_agency_line,-14,5,2,9,9,-0.320659815,-0.554803145,4,,
1,32,3,1,32,173,html-slider-response,173,731928,3758,24,0.6,question_agency,question_agency_line,-36,5,6,4,3,0.017264406,0.420252899,5,,
1,37,3,1,37,22,html-slider-response,22,126800,5471,67,0.7,question_agency,question_agency_line,-3,7,7,7,9,-0.105852523,-0.11295605,1,,
1,39,3,1,39,71,html-slider-response,71,320475,2302,59,0.7,question_agency,question_agency_line,-11,9,10,6,9,-0.389247099,-0.381335988,2,,
