,SubNum,Include,level_0,index,trial_type,trial_index,time_elapsed,rt,response,control_level,task_id,screen_id,scale,scale_2,difference,difference_2,Key_Release_sim_x,Key_Release_sim_y,Key_Release_p1_x,Key_Release_p1_y,Correlation_x,Correlation_y,block
0,1,1,0,28,html-slider-response,28,446597,3302.0,0.0,0.0,question_agency,question_agency_line_inverted,1.0,0.0,0.0,0.0,6.0,8.0,27.0,24.0,0.018079882903453106,-0.07858221687126589,1
5,1,1,5,65,html-slider-response,65,594367,3346.0,0.0,0.0,question_agency,question_agency_line_inverted,1.0,0.0,0.0,0.0,9.0,5.0,22.0,16.0,-0.11197239819028271,-0.2979354561925376,2
4,1,1,4,93,html-slider-response,93,707077,3553.0,0.0,0.0,question_agency,question_agency_line_inverted,1.0,0.0,0.0,0.0,10.0,5.0,44.0,32.0,-0.0067200149861352315,0.007306057079102406,3
3,1,1,3,146,html-slider-response,146,931237,3965.0,0.0,0.0,question_agency,question_agency_line,0.0,0.0,0.0,0.0,9.0,8.0,41.0,26.0,-0.07377708573474691,0.049784675691087694,4
2,1,1,2,165,html-slider-response,165,1011694,4647.0,0.0,0.0,question_agency,question_agency_line,0.0,0.0,0.0,0.0,4.0,5.0,4.0,17.0,-0.0069914581604107765,-0.2851248550111685,5
1,1,1,1,193,html-slider-response,193,1134106,4149.0,0.0,0.0,question_agency,question_agency_line,0.0,0.0,0.0,0.0,4.0,8.0,6.0,4.0,0.27672473069203035,-0.37033956637430854,1
8,1,1,8,40,html-slider-response,40,495605,4289.0,0.0,0.1,question_agency,question_agency_line_inverted,1.0,0.0,-10.0,0.0,7.0,7.0,16.0,14.0,-0.2093022006973181,0.0012203367508338712,2
11,1,1,11,74,html-slider-response,74,630687,3365.0,3.0,0.1,question_agency,question_agency_line_inverted,1.0,0.0,-7.0,0.0,8.0,10.0,10.0,3.0,0.25290280907397944,0.1144167800503836,3
10,1,1,10,96,html-slider-response,96,721846,5737.0,0.0,0.1,question_agency,question_agency_line_inverted,1.0,0.0,-10.0,0.0,7.0,7.0,13.0,16.0,0.13490444056052264,-0.3501224680880338,4
9,1,1,9,134,html-slider-response,134,878985,3038.0,0.0,0.1,question_agency,question_agency_line,0.0,0.0,-10.0,0.0,5.0,10.0,37.0,24.0,-0.31762276358473507,-0.10851140206773724,5
7,1,1,7,177,html-slider-response,177,1066624,3038.0,0.0,0.1,question_agency,question_agency_line,0.0,0.0,-10.0,0.0,8.0,6.0,4.0,4.0,0.14119156084806714,-0.1466809934231965,1
6,1,1,6,205,html-slider-response,205,1187190,4168.0,4.0,0.1,question_agency,question_agency_line,0.0,0.0,-6.0,0.0,5.0,8.0,8.0,7.0,0.4978900185052451,0.15555145461989087,2
17,1,1,17,43,html-slider-response,43,507636,3010.0,3.0,0.2,question_agency,question_agency_line_inverted,1.0,0.0,-17.0,0.0,8.0,7.0,24.0,16.0,-0.07408842502860494,0.2593572431232633,3
15,1,1,15,80,html-slider-response,80,654264,2797.0,3.0,0.2,question_agency,question_agency_line_inverted,1.0,0.0,-17.0,0.0,8.0,7.0,17.0,31.0,0.12099264631831105,-0.09794953953922943,4
12,1,1,12,120,html-slider-response,120,819876,3780.0,0.0,0.2,question_agency,question_agency_line_inverted,1.0,0.0,-20.0,0.0,3.0,6.0,47.0,35.0,-0.12310320038396037,-0.09716041558642939,5
14,1,1,14,128,html-slider-response,128,854748,2455.0,0.0,0.2,question_agency,question_agency_line,0.0,0.0,-20.0,0.0,7.0,7.0,37.0,27.0,-0.1781527346606557,-0.08892756971412258,1
13,1,1,13,162,html-slider-response,162,998004,3828.0,0.0,0.2,question_agency,question_agency_line,0.0,0.0,-20.0,0.0,5.0,4.0,12.0,18.0,0.44913578763459705,0.1550434182365104,2
16,1,1,16,223,html-slider-response,223,1270890,4270.0,0.0,0.2,question_agency,question_agency_line,0.0,0.0,-20.0,0.0,7.0,9.0,4.0,4.0,0.22936537600213008,-0.03594105226358343,3
20,1,1,20,37,html-slider-response,37,482292,3009.0,4.0,0.3,question_agency,question_agency_line_inverted,1.0,0.0,-26.0,0.0,5.0,4.0,1.0,2.0,-0.2062804766599521,-0.31083804550266936,4
22,1,1,22,59,html-slider-response,59,570767,2810.0,4.0,0.3,question_agency,question_agency_line_inverted,1.0,0.0,-26.0,0.0,4.0,6.0,32.0,4.0,-0.20060076022049475,-0.24440992470597472,5
21,1,1,21,105,html-slider-response,105,759269,4220.0,5.0,0.3,question_agency,question_agency_line_inverted,1.0,0.0,-25.0,0.0,7.0,8.0,14.0,11.0,0.2230559146029814,-0.16874858487423006,1
23,1,1,23,137,html-slider-response,137,892083,4034.0,28.0,0.3,question_agency,question_agency_line,0.0,0.0,-2.0,0.0,8.0,8.0,12.0,27.0,-0.06129419623947859,-0.04170375533911843,2
18,1,1,18,174,html-slider-response,174,1054379,4050.0,18.0,0.3,question_agency,question_agency_line,0.0,0.0,-12.0,0.0,8.0,7.0,6.0,2.0,0.4283806489735391,-0.33311008740564446,3
19,1,1,19,208,html-slider-response,208,1203847,7584.0,1.0,0.3,question_agency,question_agency_line,0.0,0.0,-29.0,0.0,4.0,6.0,5.0,2.0,0.5093820185185032,-0.19150178592845607,4
26,1,1,26,52,html-slider-response,52,542828,2314.0,4.0,0.4,question_agency,question_agency_line_inverted,1.0,0.0,-36.0,0.0,4.0,6.0,3.0,2.0,0.5691884559824492,-0.44050098116384584,5
28,1,1,28,83,html-slider-response,83,668171,4225.0,3.0,0.4,question_agency,question_agency_line_inverted,1.0,0.0,-37.0,0.0,5.0,7.0,9.0,4.0,-0.18180341557858562,-0.09896757816399875,1
25,1,1,25,102,html-slider-response,102,746014,3252.0,54.0,0.4,question_agency,question_agency_line_inverted,1.0,0.0,14.0,0.0,7.0,10.0,27.0,17.0,-0.282773060603826,0.3091384218910242,2
24,1,1,24,143,html-slider-response,143,918204,4817.0,3.0,0.4,question_agency,question_agency_line,0.0,0.0,-37.0,0.0,7.0,7.0,6.0,8.0,-0.3959054581107316,0.5543990456555777,3
27,1,1,27,186,html-slider-response,186,1105927,3347.0,1.0,0.4,question_agency,question_agency_line,0.0,0.0,-39.0,0.0,6.0,7.0,2.0,2.0,0.5059565603107973,-0.3937082894591001,4
29,1,1,29,211,html-slider-response,211,1215738,2814.0,79.0,0.4,question_agency,question_agency_line,0.0,0.0,39.0,0.0,6.0,6.0,4.0,3.0,0.31684474216826525,0.3923376602821048,5
32,1,1,32,34,html-slider-response,34,470262,3062.0,14.0,0.5,question_agency,question_agency_line_inverted,1.0,0.0,-36.0,0.0,9.0,8.0,5.0,4.0,0.1990705545577186,0.06268755849915834,1
33,1,1,33,68,html-slider-response,68,606353,2960.0,3.0,0.5,question_agency,question_agency_line_inverted,1.0,0.0,-47.0,0.0,7.0,9.0,28.0,28.0,-0.006240331828988102,-0.04772419429387386,2
35,1,1,35,108,html-slider-response,108,770708,2370.0,3.0,0.5,question_agency,question_agency_line_inverted,1.0,0.0,-47.0,0.0,9.0,9.0,42.0,4.0,-0.13545641615373866,0.11136346768046593,3
34,1,1,34,149,html-slider-response,149,945410,4669.0,7.0,0.5,question_agency,question_agency_line,0.0,0.0,-43.0,0.0,4.0,5.0,7.0,4.0,-0.11768867352090939,-0.151526800764175,4
30,1,1,30,168,html-slider-response,168,1024702,3958.0,1.0,0.5,question_agency,question_agency_line,0.0,0.0,-49.0,0.0,1.0,5.0,28.0,25.0,-0.25092590295991246,-0.25965534561067743,5
31,1,1,31,199,html-slider-response,199,1160526,3320.0,70.0,0.5,question_agency,question_agency_line,0.0,0.0,20.0,0.0,5.0,4.0,5.0,6.0,-0.32434511081583267,0.17855782834236697,1
39,1,1,39,25,html-slider-response,25,434280,2435.0,17.0,0.6,question_agency,question_agency_line_inverted,1.0,0.0,-43.0,0.0,6.0,7.0,8.0,9.0,0.1304771351069788,-0.13466081012116288,2
41,1,1,41,86,html-slider-response,86,679949,2598.0,91.0,0.6,question_agency,question_agency_line_inverted,1.0,0.0,31.0,0.0,7.0,3.0,7.0,6.0,0.30644801770526753,-0.07204856813789354,3
38,1,1,38,99,html-slider-response,99,733723,2823.0,35.0,0.6,question_agency,question_agency_line_inverted,1.0,0.0,-25.0,0.0,7.0,8.0,14.0,9.0,-0.18023376793410364,0.0633900716789746,4
40,1,1,40,152,html-slider-response,152,957478,3001.0,8.0,0.6,question_agency,question_agency_line,0.0,0.0,-52.0,0.0,6.0,6.0,6.0,3.0,-0.46985911694091526,0.27972734609049454,5
36,1,1,36,159,html-slider-response,159,985134,3416.0,33.0,0.6,question_agency,question_agency_line,0.0,0.0,-27.0,0.0,6.0,6.0,4.0,5.0,-0.3336541115543403,-0.22918477740044602,1
37,1,1,37,214,html-slider-response,214,1229056,3858.0,64.0,0.6,question_agency,question_agency_line,0.0,0.0,4.0,0.0,10.0,7.0,2.0,6.0,-2.0951746722791713e-17,0.2693625664465854,2
42,1,1,42,31,html-slider-response,31,458178,2565.0,50.0,0.7,question_agency,question_agency_line_inverted,1.0,0.0,-20.0,0.0,5.0,3.0,9.0,8.0,0.29446015546380966,-0.0005372609733864841,3
47,1,1,47,77,html-slider-response,77,642425,2716.0,51.0,0.7,question_agency,question_agency_line_inverted,1.0,0.0,-19.0,0.0,5.0,8.0,10.0,9.0,-0.10424962134223857,-0.06611242999278498,4
44,1,1,44,111,html-slider-response,111,783053,3027.0,18.0,0.7,question_agency,question_agency_line_inverted,1.0,0.0,-52.0,0.0,6.0,5.0,4.0,3.0,-0.49300941772649953,-0.5730238522719339,5
43,1,1,43,125,html-slider-response,125,843171,2407.0,82.0,0.7,question_agency,question_agency_line,0.0,0.0,12.0,0.0,8.0,6.0,6.0,3.0,0.018237191678407684,0.040409930373285156,1
45,1,1,45,189,html-slider-response,189,1119176,3046.0,83.0,0.7,question_agency,question_agency_line,0.0,0.0,13.0,0.0,6.0,8.0,1.0,6.0,0.1487366961920641,0.34272338960142157,2
46,1,1,46,202,html-slider-response,202,1173943,4342.0,73.0,0.7,question_agency,question_agency_line,0.0,0.0,3.0,0.0,6.0,6.0,4.0,3.0,-0.007958714012775644,0.046967290587353154,3
51,1,1,51,49,html-slider-response,49,531495,2817.0,77.0,0.8,question_agency,question_agency_line_inverted,1.0,0.0,-3.0,0.0,8.0,6.0,11.0,9.0,0.13526500848345618,-0.15598649739283665,4
48,1,1,48,62,html-slider-response,62,581964,2176.0,84.0,0.8,question_agency,question_agency_line_inverted,1.0,0.0,4.0,0.0,6.0,8.0,7.0,4.0,0.17640877499700916,-0.41058175025177235,5
52,1,1,52,90,html-slider-response,90,694473,3409.0,89.0,0.8,question_agency,question_agency_line_inverted,1.0,0.0,9.0,0.0,6.0,7.0,4.0,0.0,-0.13313546807626955,0.0,1
53,1,1,53,131,html-slider-response,131,866843,3058.0,81.0,0.8,question_agency,question_agency_line,0.0,0.0,1.0,0.0,5.0,10.0,5.0,2.0,0.6082127551531774,-0.3006621777123854,2
49,1,1,49,171,html-slider-response,171,1040005,4419.0,84.0,0.8,question_agency,question_agency_line,0.0,0.0,4.0,0.0,8.0,8.0,4.0,0.0,0.60723096957412,0.0,3
50,1,1,50,196,html-slider-response,196,1147520,4085.0,79.0,0.8,question_agency,question_agency_line,0.0,0.0,-1.0,0.0,6.0,5.0,5.0,1.0,-0.5198767893065523,0.23514124228347422,4
55,1,1,55,22,html-slider-response,22,422825,4676.0,80.0,0.9,question_agency,question_agency_line_inverted,1.0,0.0,-10.0,0.0,3.0,9.0,7.0,8.0,0.5424042629515353,0.3121688591579683,5
57,1,1,57,71,html-slider-response,71,618293,2916.0,85.0,0.9,question_agency,question_agency_line_inverted,1.0,0.0,-5.0,0.0,3.0,8.0,5.0,8.0,-0.5258161453162966,0.09040577810327476,1
58,1,1,58,117,html-slider-response,117,806994,2715.0,82.0,0.9,question_agency,question_agency_line_inverted,1.0,0.0,-8.0,0.0,8.0,8.0,6.0,3.0,-0.307860049181655,0.37543243418945427,2
56,1,1,56,155,html-slider-response,155,970988,3672.0,82.0,0.9,question_agency,question_agency_line,0.0,0.0,-8.0,0.0,7.0,8.0,5.0,2.0,-0.44866197108170086,-0.37935209634902406,3
59,1,1,59,183,html-slider-response,183,1093316,4464.0,95.0,0.9,question_agency,question_agency_line,0.0,0.0,5.0,0.0,7.0,5.0,1.0,6.0,0.06977696939100403,0.5037307452976926,4
54,1,1,54,217,html-slider-response,217,1244815,4554.0,81.0,0.9,question_agency,question_agency_line,0.0,0.0,-9.0,0.0,5.0,5.0,6.0,3.0,-0.3980324611627473,0.43161323257190976,5
62,1,1,62,46,html-slider-response,46,519653,2980.0,100.0,1.0,question_agency,question_agency_line_inverted,1.0,0.0,0.0,0.0,6.0,5.0,37.0,34.0,0.09556004025616788,-0.13402334769453889,1
65,1,1,65,56,html-slider-response,56,558895,2487.0,100.0,1.0,question_agency,question_agency_line_inverted,1.0,0.0,0.0,0.0,4.0,8.0,13.0,10.0,-0.34042157180445964,0.22343475485332914,2
61,1,1,61,114,html-slider-response,114,795130,2991.0,100.0,1.0,question_agency,question_agency_line_inverted,1.0,0.0,0.0,0.0,8.0,9.0,7.0,4.0,-0.38619020453010255,0.05154729494013024,3
63,1,1,63,140,html-slider-response,140,904319,3075.0,100.0,1.0,question_agency,question_agency_line,0.0,0.0,0.0,0.0,8.0,4.0,6.0,4.0,-0.29136590646798594,0.4611079903646584,4
60,1,1,60,180,html-slider-response,180,1079817,4112.0,100.0,1.0,question_agency,question_agency_line,0.0,0.0,0.0,0.0,9.0,8.0,5.0,2.0,-0.02707243444689784,-0.02439792792248878,5
64,1,1,64,220,html-slider-response,220,1257554,2974.0,100.0,1.0,question_agency,question_agency_line,0.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,0.6383222783555716,0.0,1
1,2,1,1,25,html-slider-response,25,113826,3840.0,1.0,0.0,question_agency,question_agency_line,0.0,0.0,1.0,0.0,5.0,5.0,6.0,5.0,0.0486017437311716,-0.11647918991366278,1
3,2,1,3,71,html-slider-response,71,320354,4549.0,2.0,0.0,question_agency,question_agency_line,0.0,0.0,2.0,0.0,7.0,8.0,11.0,8.0,-0.0037233004763773192,0.07234643562731548,2
2,2,1,2,114,html-slider-response,114,543793,7436.0,7.0,0.0,question_agency,question_agency_line,0.0,0.0,7.0,0.0,9.0,7.0,4.0,11.0,-0.005464460845097521,-0.1967757568162784,3
5,2,1,5,146,html-slider-response,146,711559,10112.0,0.0,0.0,question_agency,question_agency_line_inverted,1.0,0.0,0.0,0.0,5.0,7.0,15.0,8.0,-0.36726324940271926,-0.16294926485907915,4
0,2,1,0,162,html-slider-response,162,797909,7263.0,47.0,0.0,question_agency,question_agency_line_inverted,1.0,0.0,47.0,0.0,9.0,7.0,7.0,6.0,-0.014940559368883865,0.2724893685928537,5
4,2,1,4,208,html-slider-response,208,1031072,5960.0,1.0,0.0,question_agency,question_agency_line_inverted,1.0,0.0,1.0,0.0,8.0,5.0,4.0,3.0,0.3060059973432862,-0.10171472798053473,1
11,2,1,11,46,html-slider-response,46,208688,3830.0,31.0,0.1,question_agency,question_agency_line,0.0,0.0,21.0,0.0,7.0,7.0,4.0,5.0,0.3833794211189764,-0.14087043635390167,2
8,2,1,8,83,html-slider-response,83,377686,5991.0,2.0,0.1,question_agency,question_agency_line,0.0,0.0,-8.0,0.0,7.0,8.0,8.0,6.0,0.18502965062339838,0.31626327211737415,3
6,2,1,6,117,html-slider-response,117,556337,3535.0,2.0,0.1,question_agency,question_agency_line,0.0,0.0,-8.0,0.0,8.0,6.0,10.0,5.0,-0.12331341173425353,0.23695767815263863,4
7,2,1,7,128,html-slider-response,128,617157,3604.0,5.0,0.1,question_agency,question_agency_line_inverted,1.0,0.0,-5.0,0.0,8.0,8.0,11.0,7.0,0.2396513433730018,-0.04473156712368671,5
9,2,1,9,189,html-slider-response,189,938669,4829.0,3.0,0.1,question_agency,question_agency_line_inverted,1.0,0.0,-7.0,0.0,7.0,7.0,6.0,1.0,-0.10164074166362823,0.1490644771615571,1
10,2,1,10,211,html-slider-response,211,1043873,3785.0,0.0,0.1,question_agency,question_agency_line_inverted,1.0,0.0,-10.0,0.0,7.0,9.0,9.0,4.0,0.28007853026735496,0.2786126028139827,2
16,2,1,16,28,html-slider-response,28,126638,3795.0,4.0,0.2,question_agency,question_agency_line,0.0,0.0,-16.0,0.0,8.0,8.0,9.0,6.0,-0.18488783182793697,0.096531489817045,3
13,2,1,13,86,html-slider-response,86,390834,4138.0,5.0,0.2,question_agency,question_agency_line,0.0,0.0,-15.0,0.0,4.0,6.0,4.0,10.0,0.3792478814840474,-0.09533320210084882,4
17,2,1,17,120,html-slider-response,120,569637,4286.0,2.0,0.2,question_agency,question_agency_line,0.0,0.0,-18.0,0.0,6.0,8.0,8.0,8.0,-0.06152549934775291,-0.16802445620380435,5
14,2,1,14,149,html-slider-response,149,730364,9799.0,3.0,0.2,question_agency,question_agency_line_inverted,1.0,0.0,-17.0,0.0,10.0,5.0,6.0,7.0,0.36577215954221765,-3.470362709900595e-05,1
12,2,1,12,165,html-slider-response,165,816665,9747.0,15.0,0.2,question_agency,question_agency_line_inverted,1.0,0.0,-5.0,0.0,7.0,4.0,8.0,7.0,0.26425324112954157,0.1580450548839748,2
15,2,1,15,196,html-slider-response,196,970504,4550.0,20.0,0.2,question_agency,question_agency_line_inverted,1.0,0.0,0.0,0.0,6.0,6.0,4.0,5.0,-0.10042972440413694,-0.2841773215408886,3
22,2,1,22,49,html-slider-response,49,224224,6522.0,45.0,0.3,question_agency,question_agency_line,0.0,0.0,15.0,0.0,11.0,6.0,6.0,8.0,-0.0440556184722147,0.06574587339894579,4
23,2,1,23,68,html-slider-response,68,306798,5194.0,7.0,0.3,question_agency,question_agency_line,0.0,0.0,-23.0,0.0,4.0,7.0,10.0,4.0,0.02403457708222789,-0.3059350706378193,5
20,2,1,20,93,html-slider-response,93,419757,4372.0,5.0,0.3,question_agency,question_agency_line,0.0,0.0,-25.0,0.0,4.0,11.0,8.0,7.0,-0.5386002089894036,0.252770161323733,1
18,2,1,18,155,html-slider-response,155,763828,4870.0,2.0,0.3,question_agency,question_agency_line_inverted,1.0,0.0,-28.0,0.0,7.0,5.0,8.0,9.0,0.014103762898098301,-0.27528016134821287,2
19,2,1,19,186,html-slider-response,186,924823,5194.0,52.0,0.3,question_agency,question_agency_line_inverted,1.0,0.0,22.0,0.0,10.0,7.0,9.0,4.0,-0.5212408649965639,0.49564666606411883,3
21,2,1,21,223,html-slider-response,223,1099931,5953.0,76.0,0.3,question_agency,question_agency_line_inverted,1.0,0.0,46.0,0.0,4.0,6.0,5.0,4.0,0.10060894490958615,0.2268815259034934,4
24,2,1,24,22,html-slider-response,22,100970,5189.0,20.0,0.4,question_agency,question_agency_line,0.0,0.0,-20.0,0.0,7.0,9.0,5.0,4.0,0.20730367061053512,0.032352516208025775,5
27,2,1,27,74,html-slider-response,74,333146,3782.0,23.0,0.4,question_agency,question_agency_line,0.0,0.0,-17.0,0.0,9.0,9.0,14.0,5.0,-0.11462413998155392,0.03811414432369928,1
26,2,1,26,111,html-slider-response,111,527347,3510.0,29.0,0.4,question_agency,question_agency_line,0.0,0.0,-11.0,0.0,6.0,9.0,11.0,4.0,-0.32264913826145425,0.35702733529190556,2
28,2,1,28,131,html-slider-response,131,630394,4229.0,3.0,0.4,question_agency,question_agency_line_inverted,1.0,0.0,-37.0,0.0,7.0,7.0,8.0,6.0,-0.4701844611908532,-0.013100153345417651,3
25,2,1,25,168,html-slider-response,168,829616,3942.0,9.0,0.4,question_agency,question_agency_line_inverted,1.0,0.0,-31.0,0.0,6.0,9.0,11.0,8.0,0.42265153395158483,0.13210132283533063,4
29,2,1,29,193,html-slider-response,193,956946,7045.0,44.0,0.4,question_agency,question_agency_line_inverted,1.0,0.0,4.0,0.0,8.0,11.0,6.0,7.0,0.21192466393599882,-0.1123888797132908,5
35,2,1,35,40,html-slider-response,40,178662,5636.0,4.0,0.5,question_agency,question_agency_line,0.0,0.0,-46.0,0.0,5.0,9.0,8.0,1.0,0.12712917520051725,-0.09623611650903216,1
30,2,1,30,77,html-slider-response,77,348403,6247.0,21.0,0.5,question_agency,question_agency_line,0.0,0.0,-29.0,0.0,10.0,8.0,4.0,27.0,0.3235641793445296,-0.11635772268527972,2
32,2,1,32,102,html-slider-response,102,459598,4677.0,32.0,0.5,question_agency,question_agency_line,0.0,0.0,-18.0,0.0,7.0,7.0,12.0,4.0,-0.06257916564745108,-0.3712163715321845,3
34,2,1,34,152,html-slider-response,152,749938,10569.0,12.0,0.5,question_agency,question_agency_line_inverted,1.0,0.0,-38.0,0.0,5.0,6.0,13.0,6.0,-0.42285888198309424,0.1504039144800582,4
31,2,1,31,171,html-slider-response,171,852049,13429.0,15.0,0.5,question_agency,question_agency_line_inverted,1.0,0.0,-35.0,0.0,8.0,7.0,10.0,6.0,-0.006800123972461916,0.16451880305374023,5
33,2,1,33,205,html-slider-response,205,1016105,5574.0,77.0,0.5,question_agency,question_agency_line_inverted,1.0,0.0,27.0,0.0,7.0,7.0,5.0,6.0,-0.5681318851373165,0.06110952573437706,1
40,2,1,40,31,html-slider-response,31,138791,3147.0,79.0,0.6,question_agency,question_agency_line,0.0,0.0,19.0,0.0,7.0,4.0,5.0,6.0,0.2668231053801956,0.2544580620575121,2
37,2,1,37,59,html-slider-response,59,265980,3842.0,67.0,0.6,question_agency,question_agency_line,0.0,0.0,7.0,0.0,5.0,5.0,5.0,5.0,0.03786866346627352,0.05120049520861508,3
41,2,1,41,99,html-slider-response,99,445914,3322.0,88.0,0.6,question_agency,question_agency_line,0.0,0.0,28.0,0.0,8.0,5.0,10.0,7.0,0.07615804134335673,-0.16066210970057881,4
38,2,1,38,134,html-slider-response,134,646289,6890.0,62.0,0.6,question_agency,question_agency_line_inverted,1.0,0.0,2.0,0.0,2.0,5.0,11.0,8.0,-0.05923332224837602,0.040162030080390584,5
36,2,1,36,159,html-slider-response,159,781639,7022.0,95.0,0.6,question_agency,question_agency_line_inverted,1.0,0.0,35.0,0.0,5.0,4.0,10.0,7.0,-0.16014927826108605,-0.044409406318197654,1
39,2,1,39,202,html-slider-response,202,1001523,5828.0,82.0,0.6,question_agency,question_agency_line_inverted,1.0,0.0,22.0,0.0,7.0,6.0,6.0,7.0,0.362206102119245,0.13066297582037287,2
44,2,1,44,52,html-slider-response,52,237842,4600.0,85.0,0.7,question_agency,question_agency_line,0.0,0.0,15.0,0.0,7.0,6.0,6.0,7.0,0.2807394259751203,0.5833072413005603,3
42,2,1,42,62,html-slider-response,62,279758,4767.0,77.0,0.7,question_agency,question_agency_line,0.0,0.0,7.0,0.0,6.0,6.0,8.0,7.0,0.41212628412444796,-0.4119404166500123,4
45,2,1,45,96,html-slider-response,96,433575,4809.0,96.0,0.7,question_agency,question_agency_line,0.0,0.0,26.0,0.0,7.0,8.0,16.0,6.0,0.165724126248014,0.2767853849937673,5
46,2,1,46,140,html-slider-response,140,677023,7422.0,92.0,0.7,question_agency,question_agency_line_inverted,1.0,0.0,22.0,0.0,7.0,4.0,10.0,8.0,-0.27127485808769347,-0.4254499361307482,1
47,2,1,47,180,html-slider-response,180,897145,3587.0,95.0,0.7,question_agency,question_agency_line_inverted,1.0,0.0,25.0,0.0,8.0,8.0,16.0,9.0,0.18659284440287074,0.1314668171477482,2
43,2,1,43,199,html-slider-response,199,986687,7173.0,86.0,0.7,question_agency,question_agency_line_inverted,1.0,0.0,16.0,0.0,5.0,9.0,10.0,8.0,0.11899964447792225,0.2847370155103564,3
49,2,1,49,43,html-slider-response,43,195843,8175.0,90.0,0.8,question_agency,question_agency_line,0.0,0.0,10.0,0.0,7.0,6.0,4.0,12.0,-0.18804202451373703,0.004603242981842416,4
53,2,1,53,65,html-slider-response,65,292593,3826.0,76.0,0.8,question_agency,question_agency_line,0.0,0.0,-4.0,0.0,8.0,7.0,9.0,4.0,0.1135798977164325,0.06873168386546705,5
51,2,1,51,90,html-slider-response,90,406373,3411.0,92.0,0.8,question_agency,question_agency_line,0.0,0.0,12.0,0.0,4.0,3.0,12.0,11.0,0.027510107204230746,0.17963091855467936,1
52,2,1,52,143,html-slider-response,143,692437,6403.0,92.0,0.8,question_agency,question_agency_line_inverted,1.0,0.0,12.0,0.0,6.0,6.0,10.0,8.0,0.00681509629060048,-0.27568797914698484,2
48,2,1,48,183,html-slider-response,183,910622,4469.0,95.0,0.8,question_agency,question_agency_line_inverted,1.0,0.0,15.0,0.0,5.0,7.0,18.0,8.0,0.13560059351499343,0.07349274576329441,3
50,2,1,50,214,html-slider-response,214,1057852,4972.0,98.0,0.8,question_agency,question_agency_line_inverted,1.0,0.0,18.0,0.0,7.0,6.0,8.0,7.0,0.04295260174913409,-0.10707907906559512,4
55,2,1,55,34,html-slider-response,34,151676,3876.0,100.0,0.9,question_agency,question_agency_line,0.0,0.0,10.0,0.0,7.0,10.0,9.0,8.0,0.04781937051913818,0.14871381848410598,5
59,2,1,59,56,html-slider-response,56,253130,3892.0,97.0,0.9,question_agency,question_agency_line,0.0,0.0,7.0,0.0,7.0,8.0,8.0,4.0,0.5335760703918014,0.024889987877325832,1
56,2,1,56,105,html-slider-response,105,472007,3393.0,98.0,0.9,question_agency,question_agency_line,0.0,0.0,8.0,0.0,6.0,8.0,8.0,6.0,-0.3890489092532357,0.2201187713010284,2
54,2,1,54,125,html-slider-response,125,604542,5441.0,98.0,0.9,question_agency,question_agency_line_inverted,1.0,0.0,8.0,0.0,9.0,5.0,10.0,8.0,0.056378398852200286,0.25687039283918944,3
58,2,1,58,177,html-slider-response,177,884542,10108.0,99.0,0.9,question_agency,question_agency_line_inverted,1.0,0.0,9.0,0.0,8.0,6.0,8.0,6.0,0.25435105101016797,0.5097492033056562,4
57,2,1,57,217,html-slider-response,217,1071381,4523.0,97.0,0.9,question_agency,question_agency_line_inverted,1.0,0.0,7.0,0.0,6.0,6.0,9.0,10.0,-0.11968851732443005,0.08092854442513042,5
63,2,1,63,37,html-slider-response,37,164018,3337.0,100.0,1.0,question_agency,question_agency_line,0.0,0.0,0.0,0.0,8.0,7.0,7.0,4.0,-0.17267206337721447,-0.2887772255504513,1
61,2,1,61,80,html-slider-response,80,362684,5264.0,100.0,1.0,question_agency,question_agency_line,0.0,0.0,0.0,0.0,6.0,5.0,11.0,6.0,-0.05205384976773053,-0.5342836357425511,2
65,2,1,65,108,html-slider-response,108,514830,33818.0,99.0,1.0,question_agency,question_agency_line,0.0,0.0,-1.0,0.0,6.0,6.0,8.0,4.0,0.3342230554909691,0.46718012231508876,3
62,2,1,62,137,html-slider-response,137,660592,5295.0,100.0,1.0,question_agency,question_agency_line_inverted,1.0,0.0,0.0,0.0,8.0,9.0,10.0,8.0,0.009052975557517103,-0.23659622085962287,4
60,2,1,60,174,html-slider-response,174,865424,4367.0,100.0,1.0,question_agency,question_agency_line_inverted,1.0,0.0,0.0,0.0,6.0,5.0,10.0,10.0,-0.029900926220895248,-0.30344162252484286,5
64,2,1,64,220,html-slider-response,220,1084963,4573.0,100.0,1.0,question_agency,question_agency_line_inverted,1.0,0.0,0.0,0.0,9.0,9.0,8.0,8.0,0.3791475298755333,0.11745126536694761,1
0,3,1,0,25,html-slider-response,25,116039,6619.0,0.0,0.0,question_agency,question_agency_line,0.0,0.0,0.0,0.0,6.0,9.0,18.0,23.0,-0.20926266584451717,-0.26350692621708205,1
5,3,1,5,59,html-slider-response,59,282105,3324.0,26.0,0.0,question_agency,question_agency_line,0.0,0.0,26.0,0.0,5.0,5.0,33.0,21.0,-0.05858558615451431,-0.2180946769721688,2
3,3,1,3,90,html-slider-response,90,420064,3873.0,22.0,0.0,question_agency,question_agency_line,0.0,0.0,22.0,0.0,5.0,7.0,35.0,48.0,-0.39181341776469497,-0.020438043417958032,3
