,SubNum,Include,level_0,index,trial_type,trial_index,time_elapsed,rt,response,control_level,task_id,screen_id,difference,Key_Release_sim_x,Key_Release_sim_y,Key_Release_p1_x,Key_Release_p1_y,Correlation_x,Correlation_y,block
3,1,1,3,37,html-slider-response,37,151727,2148.0,0.0,0.0,question_agency,question_agency_line_100,0.0,8.0,8.0,9.0,10.0,0.2532068810590805,0.29482768347385585,1
4,1,1,4,62,html-slider-response,62,914915,4088.0,0.0,0.0,question_agency,question_agency_line_100,0.0,9.0,7.0,0.0,0.0,0.0,0.0,2
1,1,1,1,93,html-slider-response,93,1038241,2419.0,0.0,0.0,question_agency,question_agency_line_100,0.0,7.0,9.0,7.0,14.0,0.3060636581394854,-0.17189058598611193,3
2,1,1,2,139,html-slider-response,139,1210049,4303.0,0.0,0.0,question_agency,question_agency_line_100,0.0,5.0,6.0,14.0,30.0,-0.192599368906672,-0.3837335901474654,4
0,1,1,0,185,html-slider-response,185,1403841,3084.0,0.0,0.0,question_agency,question_agency_line_100,0.0,6.0,6.0,8.0,28.0,-0.2538331669355168,0.24915617448547628,5
5,1,1,5,22,html-slider-response,22,93183,3784.0,0.0,0.1,question_agency,question_agency_line_100,-10.0,5.0,6.0,10.0,7.0,-0.4438917663137649,-0.16269355729529728,1
7,1,1,7,71,html-slider-response,71,953753,2644.0,0.0,0.1,question_agency,question_agency_line_100,-10.0,3.0,2.0,0.0,0.0,0.0,0.0,2
6,1,1,6,117,html-slider-response,117,1128985,2032.0,0.0,0.1,question_agency,question_agency_line_100,-10.0,6.0,7.0,8.0,12.0,-0.23046229085964517,-0.12075610047773686,3
8,1,1,8,148,html-slider-response,148,1245378,2216.0,1.0,0.1,question_agency,question_agency_line_100,-9.0,8.0,6.0,7.0,11.0,0.2928070361625186,-0.1435731707906049,4
9,1,1,9,182,html-slider-response,182,1391745,2205.0,9.0,0.1,question_agency,question_agency_line_100,-1.0,6.0,6.0,12.0,2.0,-0.3577270919442126,-0.21910812273622374,5
12,1,1,12,46,html-slider-response,46,846522,3578.0,0.0,0.2,question_agency,question_agency_line_100,-20.0,4.0,8.0,0.0,0.0,0.0,0.0,1
10,1,1,10,59,html-slider-response,59,901803,3412.0,0.0,0.2,question_agency,question_agency_line_100,-20.0,5.0,4.0,0.0,0.0,0.0,0.0,2
14,1,1,14,99,html-slider-response,99,1061553,2368.0,11.0,0.2,question_agency,question_agency_line_100,-9.0,5.0,5.0,10.0,9.0,0.10858177977020755,0.03543899993397614,3
13,1,1,13,124,html-slider-response,124,1152385,1904.0,3.0,0.2,question_agency,question_agency_line_100,-17.0,6.0,7.0,8.0,4.0,0.20410539768790192,0.06738785066195442,4
11,1,1,11,161,html-slider-response,161,1307848,2457.0,11.0,0.2,question_agency,question_agency_line_100,-9.0,6.0,7.0,5.0,6.0,-0.35946889378118074,0.15755524709941618,5
15,1,1,15,49,html-slider-response,49,858298,2755.0,0.0,0.3,question_agency,question_agency_line_100,-30.0,5.0,5.0,0.0,0.0,0.0,0.0,1
18,1,1,18,83,html-slider-response,83,1002377,1905.0,40.0,0.3,question_agency,question_agency_line_100,10.0,7.0,8.0,11.0,5.0,-0.0033703698714326142,0.4380358285717492,2
19,1,1,19,90,html-slider-response,90,1026801,2430.0,30.0,0.3,question_agency,question_agency_line_100,0.0,6.0,4.0,4.0,9.0,-0.0015317531442979504,-0.5079458818590654,3
16,1,1,16,142,html-slider-response,142,1222921,3842.0,20.0,0.3,question_agency,question_agency_line_100,-10.0,4.0,5.0,7.0,6.0,0.009195877320401214,0.4676982897265238,4
